iter	MultiClass
0	1.561288013
1	1.522049911
2	1.488301824
3	1.45048336
4	1.416297451
5	1.391047337
6	1.36363301
7	1.344631318
8	1.320981759
9	1.295453147
10	1.267301071
11	1.249316651
12	1.226552601
13	1.208143396
14	1.19509223
15	1.181420256
16	1.16289638
17	1.150319304
18	1.128984592
19	1.119506979
20	1.099061819
21	1.076270389
22	1.063418659
23	1.043413314
24	1.029129084
25	1.010715676
26	0.9961869454
27	0.9808179951
28	0.9627130843
29	0.9496402819
30	0.9361763453
31	0.9238321483
32	0.9084407115
33	0.8976351399
34	0.8879084767
35	0.8715850402
36	0.8629136318
37	0.8451409461
38	0.8346954743
39	0.8268923981
40	0.8158791253
41	0.8070336998
42	0.7958103384
43	0.7922593378
44	0.7822944055
45	0.7757819778
46	0.7655057057
47	0.7527132826
48	0.7391958074
49	0.7323572117
50	0.7249632708
51	0.7173085845
52	0.7082393284
53	0.702232052
54	0.6872716221
55	0.6797652359
56	0.6737544459
57	0.6667376183
58	0.6614375322
59	0.6512449559
60	0.6422176037
61	0.6370169054
62	0.6321989068
63	0.6247954767
64	0.6202035106
65	0.6139805773
66	0.6077806269
67	0.5967776577
68	0.5875613659
69	0.5820158164
70	0.5761389783
71	0.5728306782
72	0.5674120455
73	0.5616690376
74	0.5561195423
75	0.5511150913
76	0.5441391125
77	0.5381992005
78	0.5349509665
79	0.5290254769
80	0.5235734262
81	0.5189736008
82	0.5118276404
83	0.5068242213
84	0.4996015973
85	0.4933908902
86	0.4879275096
87	0.4840814916
88	0.4790523174
89	0.4745089577
90	0.4695419372
91	0.4647422486
92	0.4610319483
93	0.4574967148
94	0.4529031948
95	0.4490519969
96	0.4454329893
97	0.4409062658
98	0.4365663144
99	0.4335332249
100	0.4294685342
101	0.4238746253
102	0.4194923556
103	0.416603869
104	0.4140648531
105	0.4096802796
106	0.4046350975
107	0.4007504338
108	0.3941427287
109	0.3915873324
110	0.3872071859
111	0.3835585131
112	0.3782787616
113	0.374650309
114	0.3700538876
115	0.3662112751
116	0.3628821209
117	0.3593164161
118	0.3566833507
119	0.3524126342
120	0.3509307715
121	0.3472638421
122	0.3437778205
123	0.3416670309
124	0.337068033
125	0.3336845147
126	0.3302898114
127	0.3272689909
128	0.3236353316
129	0.3209098682
130	0.3186893662
131	0.3149483684
132	0.3122207857
133	0.3102396088
134	0.3076189139
135	0.3046082416
136	0.3022440926
137	0.2993573062
138	0.2973246169
139	0.2924257544
140	0.2893015115
141	0.2873724176
142	0.2838127307
143	0.2813407894
144	0.2794471421
145	0.2781094804
146	0.2761867325
147	0.2731416514
148	0.2701094855
149	0.2685350149
150	0.2667004544
151	0.2650960821
152	0.2625448361
153	0.2596357851
154	0.2579287296
155	0.2559483548
156	0.2538111458
157	0.2519832863
158	0.2501505418
159	0.2479270895
160	0.2457820058
161	0.2432401459
162	0.2407481355
163	0.2385032065
164	0.2367127536
165	0.2350786552
166	0.2336104121
167	0.2321751052
168	0.2303621874
169	0.2291479807
170	0.2280660893
171	0.2267014153
172	0.225956595
173	0.2237958761
174	0.2222457953
175	0.2207666453
176	0.2189003697
177	0.2167583732
178	0.2155458499
179	0.2140637581
180	0.2127002116
181	0.2116908038
182	0.2106985273
183	0.2095298355
184	0.2083543499
185	0.2065936131
186	0.2055235932
187	0.2038731139
188	0.2022437446
189	0.2002877792
190	0.198992782
191	0.197320016
192	0.1955910044
193	0.1943944426
194	0.1923216627
195	0.1913432025
196	0.1903274988
197	0.1895791958
198	0.1870629732
199	0.185917199
200	0.1841878215
201	0.182586306
202	0.1809279764
203	0.1797262055
204	0.1781884295
205	0.1759621381
206	0.175211641
207	0.1734926391
208	0.173047677
209	0.1717163487
210	0.1711814692
211	0.1702145623
212	0.1686285005
213	0.166544881
214	0.1648202534
215	0.1642127693
216	0.1633685116
217	0.1620594835
218	0.1607499944
219	0.1596465877
220	0.1588442549
221	0.157772983
222	0.1566154095
223	0.1562298513
224	0.1556728739
225	0.1548206453
226	0.1534461102
227	0.1528169576
228	0.1521431703
229	0.1508004202
230	0.149882012
231	0.1488795775
232	0.1480611522
233	0.1470636602
234	0.1463330036
235	0.1449707295
236	0.1444055727
237	0.1437140074
238	0.1429751989
239	0.1421632805
240	0.1409061635
241	0.1404298131
242	0.1399801843
243	0.1391165498
244	0.1380351984
245	0.1375959185
246	0.1365608667
247	0.1359313426
248	0.1351747503
249	0.134476235
250	0.1341733873
251	0.1336720296
252	0.1329561762
253	0.1320899324
254	0.1313583709
255	0.1308303522
256	0.1307002768
257	0.1299139836
258	0.1294424562
259	0.1287540031
260	0.1282067296
261	0.1272053462
262	0.1265816592
263	0.125981286
264	0.1253231754
265	0.1246735506
266	0.1238347818
267	0.1229648673
268	0.1223507244
269	0.1219807727
270	0.1211778322
271	0.1205221705
272	0.1198627976
273	0.1190635883
274	0.1184516711
275	0.1177459215
276	0.1171004126
277	0.1165022172
278	0.1161499896
279	0.1158058872
280	0.1148669367
281	0.1142112491
282	0.1136648365
283	0.1133949221
284	0.1131881532
285	0.1126903143
286	0.1121657254
287	0.1117493389
288	0.1110201828
289	0.1105510676
290	0.109613329
291	0.1094265233
292	0.1088990424
293	0.1086187236
294	0.1083494502
295	0.1077093528
296	0.1069731775
297	0.1066160757
298	0.106317961
299	0.105582156
300	0.104963115
301	0.1045095319
302	0.1042169444
303	0.1036475712
304	0.1030663605
305	0.1026783841
306	0.102313414
307	0.1017146429
308	0.1012397408
309	0.1005701265
310	0.1001709792
311	0.09972103784
312	0.09917109463
313	0.09879753219
314	0.09857467694
315	0.09828651619
316	0.09759858762
317	0.09716507479
318	0.09667999519
319	0.09611318786
320	0.09580438442
321	0.09525116715
322	0.0950030622
323	0.09458280551
324	0.09412740984
325	0.09370959037
326	0.093330961
327	0.09293892418
328	0.09269698788
329	0.09234460116
330	0.09171501982
331	0.09109721119
332	0.09059319994
333	0.09022096084
334	0.09008294013
335	0.08978157855
336	0.08957030636
337	0.08912468676
338	0.089023418
339	0.08878419566
340	0.08829247466
341	0.0879188782
342	0.08742829091
343	0.08694477357
344	0.08642351096
345	0.0859032202
346	0.0856112215
347	0.08516129332
348	0.08486091908
349	0.08461002965
350	0.08433231742
351	0.08414296257
352	0.08371584125
353	0.08333527572
354	0.08303398542
355	0.08271066445
356	0.08230507569
357	0.08178305094
358	0.08152300543
359	0.08115605246
360	0.08081227355
361	0.08055901301
362	0.08003398022
363	0.07985492321
364	0.07954534855
365	0.07923526845
366	0.07886070471
367	0.0786954478
368	0.07852812594
369	0.07818896232
370	0.07788533653
371	0.07766294766
372	0.07750693295
373	0.07721919897
374	0.0769864763
375	0.07663307566
376	0.07604521937
377	0.07580139877
378	0.07547167696
379	0.07505657957
380	0.07491797779
381	0.07472410681
382	0.07427267466
383	0.07396669715
384	0.0736417189
385	0.07348142336
386	0.07305987959
387	0.07288651716
388	0.07239225428
389	0.0721555301
390	0.07177720476
391	0.07162819348
392	0.07149383673
393	0.07121623212
394	0.07104075566
395	0.07078733666
396	0.07061146772
397	0.07033397035
398	0.07007112655
399	0.06982666006
400	0.06949070121
401	0.06926289094
402	0.06913898295
403	0.06872437819
404	0.06847972054
405	0.06814954088
406	0.06802755617
407	0.06778776568
408	0.06751607169
409	0.06715414043
410	0.06696734204
411	0.06672647558
412	0.06642186958
413	0.06635148221
414	0.06612292626
415	0.06589521762
416	0.06560285537
417	0.06548511446
418	0.06524496119
419	0.06515627888
420	0.06501383366
421	0.06480248519
422	0.06459288071
423	0.06427537118
424	0.06403767315
425	0.06391458529
426	0.06364647818
427	0.06342050209
428	0.06326840953
429	0.06307070671
430	0.06286968605
431	0.06256918934
432	0.06233816024
433	0.06211724239
434	0.06190671393
435	0.06178662196
436	0.06157145843
437	0.06142890521
438	0.06117994245
439	0.06084891186
440	0.060620826
441	0.06036331775
442	0.06012989639
443	0.05979536213
444	0.05952626218
445	0.05937017227
446	0.05920602902
447	0.05911302088
448	0.0588888361
449	0.058718368
450	0.05865024615
451	0.05851759788
452	0.05817061502
453	0.05803829143
454	0.05788051501
455	0.05772418899
456	0.05753472497
457	0.05730969388
458	0.05713095746
459	0.05687703313
460	0.05670018846
461	0.05647556406
462	0.05630425499
463	0.05607636104
464	0.05588120461
465	0.05578249636
466	0.05565457556
467	0.05551961382
468	0.05534217533
469	0.05515120982
470	0.05505358195
471	0.05491439903
472	0.05470097966
473	0.05446588633
474	0.05431744317
475	0.05412431477
476	0.05388647059
477	0.05367790214
478	0.05350705179
479	0.0534166196
480	0.05322250198
481	0.05302130825
482	0.05275644223
483	0.05259871201
484	0.05246324361
485	0.0522321199
486	0.05209213329
487	0.05198952569
488	0.05174678321
489	0.05149247064
490	0.0513319223
491	0.0512636672
492	0.05116310198
493	0.05102866261
494	0.05084772133
495	0.05063305998
496	0.05032862572
497	0.05004813198
498	0.04987245191
499	0.04968786362
500	0.04942894626
501	0.04933237172
502	0.04917086682
503	0.04896682954
504	0.04881260937
505	0.04872968449
506	0.04864262595
507	0.04849506456
508	0.04834176416
509	0.04818598584
510	0.04798116528
511	0.04779688814
512	0.04766285862
513	0.04750321256
514	0.0473255428
515	0.047129575
516	0.04702281315
517	0.04692349736
518	0.04684824423
519	0.04676203375
520	0.04663140025
521	0.04653224435
522	0.0463845153
523	0.04622700731
524	0.04608828981
525	0.04599665909
526	0.04581185808
527	0.04568045641
528	0.04559205245
529	0.04543559649
530	0.04530342045
531	0.04511795271
532	0.04502652337
533	0.04493600034
534	0.04479799222
535	0.04467745533
536	0.04453292797
537	0.04439166268
538	0.04426131003
539	0.04410852536
540	0.04404171957
541	0.0438557318
542	0.0437713417
543	0.04366330895
544	0.0435774119
545	0.04342649264
